spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,full_text,shortDescription
Arcane Lock,abjuration,,,"sorcerer/wizard 2, occultist 2",1 standard action,"V, S, M (gold dust worth 25 gp)",touch,,,"door, chest, or portal touched, up to 30 sq. ft./level in size",permanent,none,no,"<p>An <i>arcane lock</i> spell cast upon a door, chest, or portal magically locks it. You can freely pass your own arcane lock without affecting it. If the locked object has a lock, the DC to open that lock increases by 10 while it remains attached to the object. If the object does not have a lock, this spell creates one that can only be opened with a DC 20 Disable Device skill check. A door or object secured with this spell can be opened only by breaking in or with a successful <i>dispel magic</i> or <i>knock</i> spell. Add 10 to the normal DC to break open a door or portal affected by this spell. A <i>knock</i> spell does not remove an <i>arcane lock</i>; it only suppresses the effect for 10 minutes.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Arcane Lock</p><div style=""clear: both;""></div></div><div><h5><b>School </b>abjuration; <b>Level </b>sorcerer/wizard 2, occultist 2</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (gold dust worth 25 gp)</h5><h5><b>Range </b>touch</h5><h5><b>Targets </b> door, chest, or portal touched, up to 30 sq. ft./level in size</h5><h5><b>Duration </b>permanent</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><div><h4><p>An <i>arcane lock</i> spell cast upon a door, chest, or portal magically locks it. You can freely pass your own arcane lock without affecting it. If the locked object has a lock, the DC to open that lock increases by 10 while it remains attached to the object. If the object does not have a lock, this spell creates one that can only be opened with a DC 20 Disable Device skill check. A door or object secured with this spell can be opened only by breaking in or with a successful <i>dispel magic</i> or <i>knock</i> spell. Add 10 to the normal DC to break open a door or portal affected by this spell. A <i>knock</i> spell does not remove an <i>arcane lock</i>; it only suppresses the effect for 10 minutes.</p></h4></div>", Magically locks a portal or chest.
Arcane Mark,universal,,,"sorcerer/wizard 0, summoner/unchained summoner 0, magus 0, shaman 0, psychic 0",1 standard action,"V, S",touch,,"one personal rune or mark, all of which must fit within 1 sq. ft.",,permanent,none,no,"<p>This spell allows you to inscribe your personal rune or mark, which can consist of no more than six characters. The writing can be visible or invisible. An <i>arcane mark</i> spell enables you to etch the rune upon any substance without harm to the material upon which it is placed. If an invisible mark is made, a <i>detect magic</i> spell causes it to glow and be visible, though not necessarily understandable.</p><p><i>See invisibility</i>, <i>true seeing</i>, a <i>gem of seeing</i>, or a <i>robe of eyes</i> likewise allows the user to see an invisible <i>arcane mark</i>. A <i>read magic</i> spell reveals the words, if any. The mark cannot be dispelled, but it can be removed by the caster or by an <i>erase</i> spell.</p><p>If an <i>arcane mark</i> is placed on a living being, the effect gradually fades in about a month.</p><p><i>Arcane mark</i> must be cast on an object prior to casting <i>instant summons</i> on the same object (see that spell description for details).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Arcane Mark</p><div style=""clear: both;""></div></div><div><h5><b>School </b>universal; <b>Level </b>sorcerer/wizard 0, summoner/unchained summoner 0, magus 0, shaman 0, psychic 0</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5><h5><b>Range </b>touch</h5><h5><b>Effect </b>one personal rune or mark, all of which must fit within 1 sq. ft.</h5><h5><b>Duration </b>permanent</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><div><h4><p>This spell allows you to inscribe your personal rune or mark, which can consist of no more than six characters. The writing can be visible or invisible. An <i>arcane mark</i> spell enables you to etch the rune upon any substance without harm to the material upon which it is placed. If an invisible mark is made, a <i>detect magic</i> spell causes it to glow and be visible, though not necessarily understandable.</p><p><i>See invisibility</i>, <i>true seeing</i>, a <i>gem of seeing</i>, or a <i>robe of eyes</i> likewise allows the user to see an invisible <i>arcane mark</i>. A <i>read magic</i> spell reveals the words, if any. The mark cannot be dispelled, but it can be removed by the caster or by an <i>erase</i> spell.</p><p>If an <i>arcane mark</i> is placed on a living being, the effect gradually fades in about a month.</p><p><i>Arcane mark</i> must be cast on an object prior to casting <i>instant summons</i> on the same object (see that spell description for details).</p></h4></div>", Inscribes a personal rune on an object or creature (visible or invisible).
Arcane Sight,divination,,,"sorcerer/wizard 3, witch 3, inquisitor 3, alchemist 3, magus 3, occultist 3, psychic 3",1 standard action,"V, S",personal,,,you,1 min./level,,,"<p>This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a <i>detect magic</i> spell, but <i>arcane sight</i> does not require concentration and discerns aura location and power more quickly.</p><p>You know the location and power of all magical auras within your sight. An aura's power depends on a spell's functioning level or an item's caster level, as noted in the description of the <i>detect magic</i> spell. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. (Make one check per aura; DC 15 + spell level, or 15 + half caster level for a nonspell effect.) If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities, whether these are arcane or divine (spell-like abilities register as arcane), and the strength of the most powerful spell or spell-like ability the creature currently has available for use.</p><p>As with <i>detect magic</i>, you can use this spell to identify the properties of magic items, but not artifacts.</p><p><i>Arcane sight</i> can be made permanent with a <i>permanency</i> spell.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Arcane Sight </p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>sorcerer/wizard 3, alchemist 3, witch 3, inquisitor 3</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5><h5><b>Range </b>personal</h5><h5><b>Targets </b> you</h5><h5><b>Duration </b>1 min./level (D)</h5></div><div><h4><p>This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a <i>detect magic</i> spell, but <i>arcane sight</i> does not require concentration and discerns aura location and power more quickly.</p><p>You know the location and power of all magical auras within your sight. An aura's power depends on a spell's functioning level or an item's caster level, as noted in the description of the <i>detect magic</i> spell. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. (Make one check per aura; DC 15 + spell level, or 15 + half caster level for a nonspell effect.) If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities, whether these are arcane or divine (spell-like abilities register as arcane), and the strength of the most powerful spell or spell-like ability the creature currently has available for use.</p><p>As with <i>detect magic</i>, you can use this spell to identify the properties of magic items, but not artifacts.</p><p><i>Arcane sight</i> can be made permanent with a <i>permanency</i> spell.</p></h4></div>", Magical auras become visible to you.
"Arcane Sight, Greater",divination,,,"sorcerer/wizard 7, witch 7, psychic 7",1 standard action,"V, S",personal,,,you,1 min./level,,,"<p>This spell functions like <i>arcane sight</i>, except that you automatically know which spells or magical effects are active upon any individual or object you see.</p><p>Unlike <i>arcane sight</i>, this spell cannot be made permanent with a <i>permanency</i> spell.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Arcane Sight, Greater </p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>sorcerer/wizard 7, witch 7, psychic 7</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5><h5><b>Range </b>personal</h5><h5><b>Targets </b> you</h5><h5><b>Duration </b>1 min./level (D)</h5></div><div><h4><p>This spell functions like <i>arcane sight</i>, except that you automatically know which spells or magical effects are active upon any individual or object you see.</p><p>Unlike <i>arcane sight</i>, this spell cannot be made permanent with a <i>permanency</i> spell.</p></h4></div>"," As arcane sight, but also reveals magic effects on creatures and objects."
Astral Projection,necromancy,,,"cleric/oracle 9, sorcerer/wizard 9, witch 9, psychic 9",30 minutes,"V, S, M (1,000 gp jacinth)",touch,,,you plus one additional willing creature touched per two caster levels,see text,none,yes,"<p>By freeing your spirit from your physical body, this spell allows you to project an astral body onto another plane altogether. You can bring the astral forms of other willing creatures with you, provided that these subjects are linked in a circle with you at the time of the casting. These fellow travelers are dependent upon you and must accompany you at all times. If something happens to you during the journey, your companions are stranded wherever you left them.</p><p>You project your astral self onto the Astral Plane, leaving your physical body behind on the Material Plane in a state of suspended animation. The spell projects an astral copy of you and all you wear or carry onto the Astral Plane. Since the Astral Plane touches upon other planes, you can travel astrally to any of these other planes as you will. To enter one, you leave the Astral Plane, forming a new physical body (and equipment) on the plane of existence you have chosen to enter.</p><p>While you are on the Astral Plane, your astral body is connected at all times to your physical body by an incorporeal silver cord. If the cord is broken, you are killed, astrally and physically. Luckily, very few things can destroy a silver cord. When a second body is formed on a different plane, the silver cord remains invisibly attached to the new body. If the second body or the astral form is slain, the cord simply returns to your body where it rests on the Material Plane, thereby reviving it from its state of suspended animation. This is a traumatic affair, however, and you gain two permanent negative levels if your second body or astral form is slain. Although astral projections are able to function on the Astral Plane, their actions affect only creatures existing on the Astral Plane; a physical body must be materialized on other planes.</p><p>You and your companions may travel through the Astral Plane indefinitely. Your bodies simply wait behind in a state of suspended animation until you choose to return your spirits to them. The spell lasts until you desire to end it, or until it is terminated by some outside means, such as <i>dispel magic</i> cast upon either the physical body or the astral form, the breaking of the silver cord, or the destruction of your body back on the Material Plane (which kills you).</p><p>When this spell ends, your astral body and all of its gear, vanishes.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Astral Projection</p><div style=""clear: both;""></div></div><div><h5><b>School </b>necromancy; <b>Level </b>cleric/oracle 9, sorcerer/wizard 9, witch 9, psychic 9</h5><h5><b>Casting Time </b>30 minutes</h5><h5><b>Components </b>V, S, M (1,000 gp jacinth)</h5><h5><b>Range </b>touch</h5><h5><b>Targets </b> you plus one additional willing creature touched per two caster levels</h5><h5><b>Duration </b>see text</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>yes</h5></div><div><h4><p>By freeing your spirit from your physical body, this spell allows you to project an astral body onto another plane altogether. You can bring the astral forms of other willing creatures with you, provided that these subjects are linked in a circle with you at the time of the casting. These fellow travelers are dependent upon you and must accompany you at all times. If something happens to you during the journey, your companions are stranded wherever you left them.</p><p>You project your astral self onto the Astral Plane, leaving your physical body behind on the Material Plane in a state of suspended animation. The spell projects an astral copy of you and all you wear or carry onto the Astral Plane. Since the Astral Plane touches upon other planes, you can travel astrally to any of these other planes as you will. To enter one, you leave the Astral Plane, forming a new physical body (and equipment) on the plane of existence you have chosen to enter.</p><p>While you are on the Astral Plane, your astral body is connected at all times to your physical body by an incorporeal silver cord. If the cord is broken, you are killed, astrally and physically. Luckily, very few things can destroy a silver cord. When a second body is formed on a different plane, the silver cord remains invisibly attached to the new body. If the second body or the astral form is slain, the cord simply returns to your body where it rests on the Material Plane, thereby reviving it from its state of suspended animation. This is a traumatic affair, however, and you gain two permanent negative levels if your second body or astral form is slain. Although astral projections are able to function on the Astral Plane, their actions affect only creatures existing on the Astral Plane; a physical body must be materialized on other planes.</p><p>You and your companions may travel through the Astral Plane indefinitely. Your bodies simply wait behind in a state of suspended animation until you choose to return your spirits to them. The spell lasts until you desire to end it, or until it is terminated by some outside means, such as <i>dispel magic</i> cast upon either the physical body or the astral form, the breaking of the silver cord, or the destruction of your body back on the Material Plane (which kills you).</p><p>When this spell ends, your astral body and all of its gear, vanishes.</p></h4></div>",Projects you and others onto Astral Plane.
Atonement,abjuration,,,"cleric/oracle 5, druid 5, inquisitor 5",1 hour,"V, S, M (burning incense), F (a set of prayer beads or other prayer device worth at least 500 gp), DF",touch,,,living creature touched,instantaneous,none,yes,"<p>This spell removes the burden of misdeeds from the subject. The creature seeking atonement must be truly repentant and desirous of setting right its misdeeds. If the atoning creature committed the evil act unwittingly or under some form of compulsion, <i>atonement</i> operates normally at no cost to you. However, in the case of a creature atoning for deliberate misdeeds, you must intercede with your deity (requiring you to expend 2,500 gp in rare incense and offerings). <i>Atonement</i> may be cast for one of several purposes, depending on the version selected.</p><p><i>Reverse Magical Alignment Change</i>: If a creature has had its alignment magically changed, atonement returns its alignment to its original status at no additional cost.</p><p><i>Restore Class</i>: A paladin, or other class, who has lost her class features due to violating the alignment restrictions of her class may have her class features restored by this spell.</p><p><i>Restore Cleric or Druid Spell Powers</i>: A cleric or druid who has lost the ability to cast spells by incurring the anger of her deity may regain that ability by seeking <i>atonement</i> from another cleric of the same deity or another druid. If the transgression was intentional, the casting cleric must expend 2,500 gp in rare incense and offerings for her god's intercession.</p><p><i>Redemption or Temptation</i>: You may cast this spell upon a creature of an opposing alignment in order to offer it a chance to change its alignment to match yours. The prospective subject must be present for the entire casting process. Upon completion of the spell, the subject freely chooses whether it retains its original alignment or acquiesces to your offer and changes to your alignment. No duress, compulsion, or magical influence can force the subject to take advantage of the opportunity offered if it is unwilling to abandon its old alignment. This use of the spell does not work on outsiders or any creature incapable of changing its alignment naturally.</p><p>Though the spell descriptionrefers to evil acts, <i>atonement</i> can be used on any creature that has performed acts against its alignment, regardless of the actual alignment in question.</p><p>Note: Normally, changing alignment is up to the player. This use of <i>atonement</i> offers a method for a character to change his or her alignment drastically, suddenly, and definitively.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Atonement</p><div style=""clear: both;""></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric/oracle 5, druid 5, inquisitor 5</h5><h5><b>Casting Time </b>1 hour</h5><h5><b>Components </b>V, S, M (burning incense), F (a set of prayer beads or other prayer device worth at least 500 gp), DF</h5><h5><b>Range </b>touch</h5><h5><b>Targets </b> living creature touched</h5><h5><b>Duration </b>instantaneous</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>yes</h5></div><div><h4><p>This spell removes the burden of misdeeds from the subject. The creature seeking atonement must be truly repentant and desirous of setting right its misdeeds. If the atoning creature committed the evil act unwittingly or under some form of compulsion, <i>atonement</i> operates normally at no cost to you. However, in the case of a creature atoning for deliberate misdeeds, you must intercede with your deity (requiring you to expend 2,500 gp in rare incense and offerings). <i>Atonement</i> may be cast for one of several purposes, depending on the version selected.</p><p><i>Reverse Magical Alignment Change</i>: If a creature has had its alignment magically changed, atonement returns its alignment to its original status at no additional cost.</p><p><i>Restore Class</i>: A paladin, or other class, who has lost her class features due to violating the alignment restrictions of her class may have her class features restored by this spell.</p><p><i>Restore Cleric or Druid Spell Powers</i>: A cleric or druid who has lost the ability to cast spells by incurring the anger of her deity may regain that ability by seeking <i>atonement</i> from another cleric of the same deity or another druid. If the transgression was intentional, the casting cleric must expend 2,500 gp in rare incense and offerings for her god's intercession.</p><p><i>Redemption or Temptation</i>: You may cast this spell upon a creature of an opposing alignment in order to offer it a chance to change its alignment to match yours. The prospective subject must be present for the entire casting process. Upon completion of the spell, the subject freely chooses whether it retains its original alignment or acquiesces to your offer and changes to your alignment. No duress, compulsion, or magical influence can force the subject to take advantage of the opportunity offered if it is unwilling to abandon its old alignment. This use of the spell does not work on outsiders or any creature incapable of changing its alignment naturally.</p><p>Though the spell descriptionrefers to evil acts, <i>atonement</i> can be used on any creature that has performed acts against its alignment, regardless of the actual alignment in question.</p><p>Note: Normally, changing alignment is up to the player. This use of <i>atonement</i> offers a method for a character to change his or her alignment drastically, suddenly, and definitively.</p></h4></div>", Removes burden of misdeeds from subject.
Augury,divination,,,"cleric/oracle 2, witch 2, shaman 2, occultist 2, psychic 2, spiritualist 2, medium 2",1 minute,"V, S, M (incense worth at least 25 gp), F (a set of marked sticks or bones worth at least 25 gp)",personal,,,you,instantaneous,,,"<p>An <i>augury</i> can tell you whether a particular action will bring good or bad results for you in the immediate future.</p><p>The base chance for receiving a meaningful reply is 70% + 1% per caster level, to a maximum of 90%; this roll is made secretly. A question may be so straightforward that a successful result is automatic, or so vague as to have no chance of success. If the <i>augury</i> succeeds, you get one of four results: <ul><li>Weal (if the action will probably bring good results).  <li>Woe (for bad results).  <li>Weal and woe (for both).  <li>Nothing (for actions that don't have especially good or bad results).</ul></p><p>If the spell fails, you get the ""nothing"" result. A cleric who gets the ""nothing"" result has no way to tell whether it was the consequence of a failed or successful <i>augury</i>.</p><p>The <i>augury</i> can see into the future only about half an hour, so anything that might happen after that does not affect the result. Thus, the result might not take into account the long-term consequences of a contemplated action. All <i>auguries</i> cast by the same person about the same topic use the same die result as the first casting.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Augury</p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>cleric/oracle 2, witch 2, shaman 2, occultist 2, psychic 2, spiritualist 2, medium 2</h5><h5><b>Casting Time </b>1 minute</h5><h5><b>Components </b>V, S, M (incense worth at least 25 gp), F (a set of marked sticks or bones worth at least 25 gp)</h5><h5><b>Range </b>personal</h5><h5><b>Targets </b> you</h5><h5><b>Duration </b>instantaneous</h5></div><div><h4><p>An <i>augury</i> can tell you whether a particular action will bring good or bad results for you in the immediate future.</p><p>The base chance for receiving a meaningful reply is 70% + 1% per caster level, to a maximum of 90%; this roll is made secretly. A question may be so straightforward that a successful result is automatic, or so vague as to have no chance of success. If the <i>augury</i> succeeds, you get one of four results: <ul><li>Weal (if the action will probably bring good results).  <li>Woe (for bad results).  <li>Weal and woe (for both).  <li>Nothing (for actions that don't have especially good or bad results).</ul></p><p>If the spell fails, you get the ""nothing"" result. A cleric who gets the ""nothing"" result has no way to tell whether it was the consequence of a failed or successful <i>augury</i>.</p><p>The <i>augury</i> can see into the future only about half an hour, so anything that might happen after that does not affect the result. Thus, the result might not take into account the long-term consequences of a contemplated action. All <i>auguries</i> cast by the same person about the same topic use the same die result as the first casting.</p></h4></div>", Learns whether an action will be good or bad.
Awaken,transmutation,,,"druid 5, shaman 6",24 hours,"V, S, M (herbs and oils worth 2,000 gp), DF",touch,,,animal or tree touched,instantaneous,Will negates,yes,"<p>You awaken a tree or animal to human-like sentience. To succeed, you must make a Will save (DC 10 + the animal's current HD, or the HD the tree will have once awakened). The awakened animal or tree is friendly toward you. You have no special empathy or connection with a creature you awaken, although it serves you in specific tasks or endeavors if you communicate your desires to it. If you cast <i>awaken</i> again, any previously awakened creatures remain friendly to you, but they no longer undertake tasks for you unless it is in their best interests.</p><p>An awakened tree has characteristics as if it were an animated object, except that it gains the plant type and its Intelligence, Wisdom, and Charisma scores are each 3d6. An awakened plant gains the ability to move its limbs, roots, vines, creepers, and so forth, and it has senses similar to a human's.</p><p>An awakened animal gets 3d6 Intelligence, +1d3 Charisma, and +2 HD. Its type becomes magical beast (augmented animal). An awakened animal can't serve as an animal companion, familiar, or special mount.</p><p>An awakened tree or animal can speak one language that you know, plus one additional language that you know per point of Intelligence bonus (if any). This spell does not function on an animal or plant with an Intelligence greater than 2.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Awaken</p><div style=""clear: both;""></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 5, shaman 6</h5><h5><b>Casting Time </b>24 hours</h5><h5><b>Components </b>V, S, M (herbs and oils worth 2,000 gp), DF</h5><h5><b>Range </b>touch</h5><h5><b>Targets </b> animal or tree touched</h5><h5><b>Duration </b>instantaneous</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><div><h4><p>You awaken a tree or animal to human-like sentience. To succeed, you must make a Will save (DC 10 + the animal's current HD, or the HD the tree will have once awakened). The awakened animal or tree is friendly toward you. You have no special empathy or connection with a creature you awaken, although it serves you in specific tasks or endeavors if you communicate your desires to it. If you cast <i>awaken</i> again, any previously awakened creatures remain friendly to you, but they no longer undertake tasks for you unless it is in their best interests.</p><p>An awakened tree has characteristics as if it were an animated object, except that it gains the plant type and its Intelligence, Wisdom, and Charisma scores are each 3d6. An awakened plant gains the ability to move its limbs, roots, vines, creepers, and so forth, and it has senses similar to a human's.</p><p>An awakened animal gets 3d6 Intelligence, +1d3 Charisma, and +2 HD. Its type becomes magical beast (augmented animal). An awakened animal can't serve as an animal companion, familiar, or special mount.</p><p>An awakened tree or animal can speak one language that you know, plus one additional language that you know per point of Intelligence bonus (if any). This spell does not function on an animal or plant with an Intelligence greater than 2.</p></h4></div>", Animal or tree gains human intellect.
Baleful Polymorph,transmutation,polymorph,,"druid 5, sorcerer/wizard 5, summoner 4, witch 5, magus 5, shaman 5, unchained summoner 5",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,,one creature,permanent,"Fortitude negates, Will partial, see text",yes,"<p>As <i>beast shape III</i>, except that you change the subject into a Small or smaller animal of no more than 1 HD. If the new form would prove fatal to the creature, such as an aquatic creature not in water, the subject gets a +4 bonus on the save.</p><p>If the spell succeeds, the subject must also make a Will save. If this second save fails, the creature loses its extraordinary, supernatural, and spell-like abilities, loses its ability to cast spells (if it had the ability), and gains the alignment, special abilities, and Intelligence, Wisdom, and Charisma scores of its new form in place of its own. It still retains its class and level (or HD), as well as all benefits deriving therefrom (such as base attack bonus, base save bonuses, and hit points). It retains any class features (other than spellcasting) that aren't extraordinary, supernatural, or spell-like abilities.</p><p>Any polymorph effects on the target are automatically dispelled when a target fails to resist the effects of <i>baleful polymorph</i>, and as long as <i>baleful polymorph</i> remains in effect, the target cannot use other polymorph spells or effects to assume a new form. Incorporeal or gaseous creatures are immune to <i>baleful polymorph</i>, and a creature with the shapechanger subtype can revert to its natural form as a standard action.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Baleful Polymorph</p><div style=""clear: both;""></div></div><div><h5><b>School </b>transmutation (polymorph); <b>Level </b>druid 5, sorcerer/wizard 5, summoner 4, witch 5, magus 5, shaman 5, unchained summoner 5</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Targets </b>one creature</h5><h5><b>Duration </b>permanent</h5><h5><b>Saving Throw </b>Fortitude negates, Will partial, see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>As <i>beast shape III</i>, except that you change the subject into a Small or smaller animal of no more than 1 HD. If the new form would prove fatal to the creature, such as an aquatic creature not in water, the subject gets a +4 bonus on the save.</p><p>If the spell succeeds, the subject must also make a Will save. If this second save fails, the creature loses its extraordinary, supernatural, and spell-like abilities, loses its ability to cast spells (if it had the ability), and gains the alignment, special abilities, and Intelligence, Wisdom, and Charisma scores of its new form in place of its own. It still retains its class and level (or HD), as well as all benefits deriving therefrom (such as base attack bonus, base save bonuses, and hit points). It retains any class features (other than spellcasting) that aren't extraordinary, supernatural, or spell-like abilities.</p><p>Any polymorph effects on the target are automatically dispelled when a target fails to resist the effects of <i>baleful polymorph</i>, and as long as <i>baleful polymorph</i> remains in effect, the target cannot use other polymorph spells or effects to assume a new form. Incorporeal or gaseous creatures are immune to <i>baleful polymorph</i>, and a creature with the shapechanger subtype can revert to its natural form as a standard action.</p></h4><h5><b>Mythic: </b>The saving throw changes to Fortitude (partial) and Will (partial). A creature that fails the Fortitude save automatically fails the Will save. A target with the shapechanger subtype that fails its save can't use its shapechanging to shift out of its new form. A creature that succeeds at the Fortitude save is partially transformed into the intended animal. For 1 minute per level, it takes on cosmetic features appropriate to that animal and becomes one size category closer to the animal's size.</h5><h5><b>Augmented (9th)</b>: If you expend four uses of mythic power, the spell affects all other creatures with 8 Hit Dice or fewer in a 1-mile radius. Affected creatures transform into Small or smaller animals appropriate to the local environment. You can select a number of creatures up to your tier to not be affected.</h5></div>",Transforms subject into harmless animal.
Bane,enchantment,compulsion,"fear, mind-affecting","antipaladin 1, cleric/oracle 1, inquisitor 1, shaman 1, mesmerist 1",1 standard action,"V, S, DF",50 ft.,"50-ft.-radius burst, centered on you",,,1 min./level,Will negates,yes,<p><i>Bane</i> fills your enemies with fear and doubt. Each affected creature takes a -1 penalty on attack rolls and a -1 penalty on saving throws against fear effects. <i>Bane</i> counters and dispels <i>bless</i>.</p>,PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Bane</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [fear, mind-affecting]; <b>Level </b>antipaladin 1, cleric/oracle 1, inquisitor 1, shaman 1, mesmerist 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, DF</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>50 ft.</h5><h5><b>Area </b>50-ft.-radius burst, centered on you</h5><h5><b>Duration </b>1 min./level</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p><i>Bane</i> fills your enemies with fear and doubt. Each affected creature takes a -1 penalty on attack rolls and a -1 penalty on saving throws against fear effects. <i>Bane</i> counters and dispels <i>bless</i>.</p></h4><h5><b>Mythic: </b>The -1 penalty applies on attack rolls, weapon damage rolls, and all saving throws. Each affected creature must roll its next attack roll or saving throw twice and take the lower result.</h5></div>",Enemies take –1 on attack rolls and saves vs. fear.
Banishment,abjuration,,,"cleric/oracle 6, sorcerer/wizard 7, summoner 5, inquisitor 5, shaman 6, psychic 7, spiritualist 6, unchained summoner 6",1 standard action,"V, S, F (see text)",close (25 ft. + 5 ft./2 levels),,,"one or more extraplanar creatures, no two of which can be more than 30 ft. apart",instantaneous,Will negates,yes,"<p>A <i>banishment</i> spell is a more powerful version of the <i>dismissal</i> spell. It enables you to force extraplanar creatures out of your home plane. As many as 2 Hit Dice of creatures per caster level can be banished.</p><p>You can improve the spell's chance of success by presenting at least one object or substance that the target hates, fears, or otherwise opposes. For each such object or substance, you gain a +1 bonus on your caster level check to overcome the target's  Spell Resistance (if any), and the saving throw DC increases by 2.</p><p>Certain rare items might work twice as well as a normal item for the purpose of the bonuses (each providing a +2 bonus on the caster level check against Spell Resistance and increasing the save DC by 4).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Banishment </p><div style=""clear: both;""></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric/oracle 6, sorcerer/wizard 7, summoner 5, inquisitor 5, shaman 6, psychic 7, spiritualist 6, unchained summoner 6</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, F (see text)</h5><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Targets </b> one or more extraplanar creatures, no two of which can be more than 30 ft. apart</h5><h5><b>Duration </b>instantaneous</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><div><h4><p>A <i>banishment</i> spell is a more powerful version of the <i>dismissal</i> spell. It enables you to force extraplanar creatures out of your home plane. As many as 2 Hit Dice of creatures per caster level can be banished.</p><p>You can improve the spell's chance of success by presenting at least one object or substance that the target hates, fears, or otherwise opposes. For each such object or substance, you gain a +1 bonus on your caster level check to overcome the target's  Spell Resistance (if any), and the saving throw DC increases by 2.</p><p>Certain rare items might work twice as well as a normal item for the purpose of the bonuses (each providing a +2 bonus on the caster level check against Spell Resistance and increasing the save DC by 4).</p></h4></div>",Banishes 2 HD/level of extraplanar creatures.
