name,school,subschool,descriptor,spell_level,Sorcerer,Wizard,Cleric,Druid,Ranger,Bard,Paladin,Alchemist,Summoner,Witch,Inquisitor,Oracle,Antipaladin,Magus,Adept,Bloodrager,Shaman,Psychic,Medium,Mesmerist,Occultist,Spiritualist,Skald,Investigator,Hunter,SLA_Level,domain,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water
Antilife Shell,Abjuration,,,"cleric/oracle 6, druid 6, shaman 6, psychic 6",NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,6,6,"Animal (6), Souls (6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antimagic Field,Abjuration,,,"cleric/oracle 8, sorcerer/wizard 6, occultist 6, psychic 7",6,6,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,6,NULL,NULL,NULL,NULL,6,"Magic (6), Protection (6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antipathy,Enchantment,compulsion,"mind-affecting, emotion","druid 9, sorcerer/wizard 8, witch 8, summoner/unchained summoner 6, occultist 6, psychic 8",8,8,NULL,9,NULL,NULL,NULL,NULL,6,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,6,NULL,NULL,NULL,NULL,8,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Antiplant Shell,Abjuration,,,druid 4,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Eye,Divination,scrying,,"sorcerer/wizard 4, witch 4, alchemist 4, occultist 4, psychic 4, mesmerist 4",4,4,NULL,NULL,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,4,4,NULL,NULL,NULL,NULL,4,Arcane (4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Lock,Abjuration,,,"sorcerer/wizard 2, occultist 2",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,2,Wards (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Mark,Universal,,,"sorcerer/wizard 0, summoner/unchained summoner 0, magus 0, shaman 0, psychic 0",0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcane Sight,Divination,,,"sorcerer/wizard 3, witch 3, inquisitor 3, alchemist 3, magus 3, occultist 3, psychic 3",3,3,NULL,NULL,NULL,NULL,NULL,3,NULL,3,3,NULL,NULL,3,NULL,NULL,NULL,3,NULL,NULL,3,NULL,NULL,NULL,NULL,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcane Sight, Greater",Divination,,,"sorcerer/wizard 7, witch 7, psychic 7",7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astral Projection,Necromancy,,,"cleric/oracle 9, sorcerer/wizard 9, witch 9, psychic 9",9,9,9,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,9,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,Travel (9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atonement,Abjuration,,,"cleric/oracle 5, druid 5, inquisitor 5",NULL,NULL,5,5,NULL,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,5,"Purity (5), Redemption (5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augury,Divination,,,"cleric/oracle 2, witch 2, shaman 2, occultist 2, psychic 2, spiritualist 2, medium 2",NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,2,NULL,NULL,NULL,NULL,2,2,2,NULL,2,2,NULL,NULL,NULL,2,Fate (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awaken,Transmutation,,,"druid 5, shaman 6",NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bane,Enchantment,compulsion,"fear, mind-affecting","antipaladin 1, cleric/oracle 1, inquisitor 1, shaman 1, mesmerist 1",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,Curse (1),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Banishment,Abjuration,,,"cleric/oracle 6, sorcerer/wizard 7, summoner 5, inquisitor 5, shaman 6, psychic 7, spiritualist 6, unchained summoner 6",7,7,6,NULL,NULL,NULL,NULL,NULL,5,NULL,5,6,NULL,NULL,NULL,NULL,6,7,NULL,NULL,NULL,6,NULL,NULL,NULL,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barkskin,Transmutation,,,"druid 2, ranger 2, summoner/unchained summoner 2, alchemist 2, shaman 2",NULL,NULL,NULL,2,2,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,"Defense (2), Plant (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear's Endurance,Transmutation,,,"cleric/oracle 2, druid 2, ranger 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, bloodrager 2, shaman 2, psychic 2, medium 2",2,2,2,2,2,NULL,NULL,2,2,NULL,NULL,2,NULL,2,2,2,2,2,2,NULL,NULL,NULL,NULL,NULL,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear's Endurance, Mass",Transmutation,,,"cleric/oracle 6, druid 6, sorcerer/wizard 6, summoner 4, magus 6, shaman 6, psychic 6, unchained summoner 6",6,6,6,6,NULL,NULL,NULL,NULL,4,NULL,NULL,6,NULL,6,NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast Shape I,Transmutation,polymorph,,"sorcerer/wizard 3, alchemist 3, magus 3, bloodrager 3",3,3,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,3,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,Fur (3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast Shape II,Transmutation,polymorph,,"sorcerer/wizard 4, alchemist 4, magus 4, bloodrager 4",4,4,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast Shape III,Transmutation,polymorph,,"sorcerer/wizard 5, alchemist 5, magus 5",5,5,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,"Animal (5), Saurian (5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beast Shape IV,Transmutation,polymorph,,"sorcerer/wizard 6, alchemist 6, magus 6",6,6,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bestow Curse,Necromancy,,curse,"cleric/oracle 3, sorcerer/wizard 4, witch 3, antipaladin 3, bloodrager 4, shaman 3, occultist 3, mesmerist 3, spiritualist 3, medium 2",4,4,3,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,3,3,NULL,3,4,3,NULL,2,3,3,3,NULL,NULL,NULL,4,"Curse (3), Tyranny (3)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binding,Enchantment,compulsion,mind-affecting,"sorcerer/wizard 8, summoner/unchained summoner 6, psychic 8",8,8,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,Slavery (8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Black Tentacles,Conjuration,creation,,"sorcerer/wizard 4, witch 4, summoner 3, magus 4, bloodrager 4, psychic 4, spiritualist 4, unchained summoner 4",4,4,NULL,NULL,NULL,NULL,NULL,NULL,3,4,NULL,NULL,NULL,4,NULL,4,NULL,4,NULL,NULL,NULL,4,NULL,NULL,NULL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade Barrier,Evocation,,force,"cleric/oracle 6, inquisitor 6, occultist 6, psychic 6",NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,6,NULL,NULL,NULL,NULL,6,"Good (6), War (6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Blasphemy,Evocation,,"evil, sonic","cleric/oracle 7, inquisitor 6",NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,Evil (7),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Bleed,Necromancy,,,"cleric/oracle 0, inquisitor 0, sorcerer/wizard 0, witch 0, shaman 0, occultist 0, psychic 0, mesmerist 0, spiritualist 0, medium 0",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bless,Enchantment,compulsion,mind-affecting,"cleric/oracle 1, paladin 1, inquisitor 1, shaman 1",NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"Community (1), Leadership (1), Resolve (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bless Water,Transmutation,,good,"cleric/oracle 1, paladin 1, inquisitor 1",NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Divine (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bless Weapon,Transmutation,,,paladin 1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,Glory (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blight,Necromancy,,,"druid 4, sorcerer/wizard 5, witch 5, shaman 5",5,5,NULL,4,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,5,"Seasons (4), Radiation (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blindness/Deafness,Necromancy,,,"antipaladin 2, bard 2, cleric/oracle 3, sorcerer/wizard 2, witch 2, bloodrager 2, shaman 3, psychic 2, mesmerist 2, spiritualist 3",2,2,3,NULL,NULL,2,NULL,NULL,NULL,2,NULL,3,2,NULL,NULL,2,3,2,NULL,2,NULL,3,NULL,NULL,NULL,2,Darkness (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blink,Transmutation,,,"bard 3, sorcerer/wizard 3, magus 3, psychic 3",3,3,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blur,Illusion,glamer,,"bard 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2",2,2,NULL,NULL,NULL,2,NULL,2,2,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,2,2,2,2,2,NULL,NULL,NULL,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Break Enchantment,Abjuration,,,"bard 4, cleric/oracle 5, paladin 4, sorcerer/wizard 5, witch 5, inquisitor 5, shaman 5, occultist 4, psychic 4, mesmerist 4, spiritualist 5, medium 4",5,5,5,NULL,NULL,4,4,NULL,NULL,5,5,5,NULL,NULL,5,NULL,5,4,4,4,4,5,NULL,NULL,NULL,5,"Liberation (5), Luck (5), Restoration (5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breath Of Life,Conjuration,healing,,"cleric/oracle 5, shaman 5, spiritualist 5",NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,5,Healing (5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bull's Strength,Transmutation,,,"cleric/oracle 2, druid 2, paladin 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, antipaladin 2, magus 2, bloodrager 2, shaman 2, psychic 2, medium 2",2,2,2,2,NULL,NULL,2,2,2,NULL,NULL,2,2,2,2,2,2,2,2,NULL,NULL,NULL,NULL,NULL,2,2,"Rage (2), Strength (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bull's Strength, Mass",Transmutation,,,"cleric/oracle 6, druid 6, sorcerer/wizard 6, summoner 4, magus 6, shaman 6, psychic 6, unchained summoner 6",6,6,6,6,NULL,NULL,NULL,NULL,4,NULL,NULL,6,NULL,6,NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,6,6,Ferocity (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burning Hands,Evocation,,fire,"sorcerer/wizard 1, witch 1, magus 1, bloodrager 1, shaman 1, occultist 1",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,Fire (1),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Call Lightning,Evocation,,electricity,"druid 3, shaman 3, occultist 3",NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,3,NULL,NULL,NULL,3,3,"Catastrophe (3), Weather (3)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Call Lightning Storm,Evocation,,electricity,"druid 5, shaman 5, occultist 5",NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,5,NULL,NULL,NULL,5,5,Storms (5),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calm Animals,Enchantment,compulsion,"mind-affecting, emotion","druid 1, ranger 1, shaman 1, psychic 1",NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,Animal (1),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Calm Emotions,Enchantment,compulsion,"mind-affecting, emotion","bard 2, cleric/oracle 2, inquisitor 2, shaman 2, occultist 2, psychic 2, mesmerist 2",NULL,NULL,2,NULL,NULL,2,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,NULL,2,2,NULL,2,2,NULL,NULL,NULL,NULL,2,"Charm (2), Family (2)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cat's Grace,Transmutation,,,"bard 2, druid 2, ranger 2, sorcerer/wizard 2, summoner/unchained summoner 2, alchemist 2, magus 2, bloodrager 2, psychic 2, mesmerist 2, medium 2",2,2,NULL,2,2,2,NULL,2,2,NULL,NULL,NULL,NULL,2,2,2,NULL,2,2,2,NULL,NULL,NULL,NULL,2,2,Flowing (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cat's Grace, Mass",Transmutation,,,"bard 6, druid 6, sorcerer/wizard 6, summoner 4, magus 6, psychic 6, unchained summoner 6",6,6,NULL,6,NULL,6,NULL,NULL,4,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cause Fear,Necromancy,,"emotion, fear, mind-affecting","antipaladin 1, bard 1, cleric/oracle 1, inquisitor 1, sorcerer/wizard 1, witch 1, bloodrager 1, shaman 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1",1,1,1,NULL,NULL,1,NULL,NULL,NULL,1,1,1,1,NULL,1,1,1,1,1,1,1,1,NULL,NULL,NULL,1,"Daemon (1), Death (1), Fear (1)",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Chain Lightning,Evocation,,electricity,"sorcerer/wizard 6, witch 7, magus 6, occultist 6",6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,6,Air (6),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Changestaff,Transmutation,,,druid 7,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
