spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,domain,shortDescription,materialComponents
Animal Messenger,enchantment,compulsion,mind-affecting,"bard 2, druid 2, ranger 1, shaman 2, psychic 2, mesmerist 2",1 minute,"V, S, M (a morsel of food the animal likes)",close (25 ft. + 5 ft./2 levels),,,one Tiny animal,1 day/level,none; see text,yes,"&lt;p&gt;You compel a Tiny animal to go to a spot you designate. The most common use for this spell is to get an animal to carry a message to your allies. The animal cannot be one tamed or trained by someone else, including such creatures as familiars and animal companions.&lt;/p&gt;&lt;p&gt;Using some type of food desirable to the animal as a lure, you call the animal to you. It advances and awaits your bidding. You can mentally impress on the animal a certain place well known to you or an obvious landmark. The directions must be simple, because the animal depends on your knowledge and can&apos;t find a destination on its own. You can attach a small item or note to the messenger. The animal then goes to the designated location and waits there until the duration of the spell expires, whereupon it resumes its normal activities.&lt;/p&gt;&lt;p&gt;During this period of waiting, the messenger allows others to approach it and remove any scroll or token it carries. The intended recipient gains no special ability to communicate with the animal or read any attached message (if it&apos;s written in a language he doesn&apos;t know, for example).&lt;/p&gt;",PFRPG Core,,Sends a Tiny animal to a specific place.,NULL
Animal Shapes,transmutation,polymorph,,"druid 8, shaman 8",1 standard action,"V, S, DF",close (25 ft. + 5 ft./2 levels),,,"up to one willing creature per level, all within 30 ft. of each other.",1 hour/level,none; see text,yes (harmless),"&lt;p&gt;As &lt;i&gt;beast shape III&lt;/i&gt;, except you change the form of up to one willing creature per caster level into an animal of your choice; the spell has no effect on unwilling creatures. All creatures must take the same kind of animal form. Recipients remain in the animal form until the spell expires or until you dismiss it for all recipients. In addition, an individual subject may choose to resume its normal form as a full-round action; doing so ends the spell for that subject alone.&lt;/p&gt;",PFRPG Core,"Animal (7), Scalykind (8)",One ally/level polymorphs into chosen animal.,NULL
Animal Trance,enchantment,compulsion,"mind-affecting, sonic","bard 2, druid 2, psychic 2, mesmerist 2",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,,animals or magical beasts with Intelligence 1 or 2,concentration,Will negates,yes,"&lt;p&gt;Your swaying motions and music (or singing, or chanting) compel animals and magical beasts to do nothing but watch you. Only a creature with an Intelligence score of 1 or 2 can be fascinated by this spell. Roll 2d6 to determine the total number of HD worth of creatures that you fascinate. The closest targets are selected first until no more targets within range can be affected.&lt;/p&gt;",PFRPG Core,Scalykind (2),Fascinates 2d6 HD of animals.,NULL
Animate Dead,necromancy,,evil,"cleric/oracle 3, sorcerer/wizard 4, antipaladin 3, shaman 3, occultist 3, spiritualist 3",1 standard action,"V, S, M (an onyx gem worth at least 25 gp per Hit Die of the undead)",touch,,,one or more corpses touched,instantaneous,none,no,"&lt;p&gt;This spell turns corpses into undead skeletons or zombies (see the &lt;i&gt;Pathfinder RPG&lt;/i&gt; Bestiary) that obey your spoken commands.&lt;/p&gt;&lt;p&gt;The undead can be made to follow you, or they can be made to remain in an area and attack any creature (or just a specific kind of creature) entering the place. They remain animated until they are destroyed. A destroyed skeleton or zombie can&apos;t be animated again.&lt;/p&gt;&lt;p&gt;Regardless of the type of undead you create with this spell, you can&apos;t create more HD of undead than twice your caster level with a single casting of &lt;i&gt;animate dead&lt;/i&gt;. The &lt;i&gt;desecrate&lt;/i&gt; spell doubles this limit.&lt;/p&gt;&lt;p&gt;The undead you create remain under your control indefinitely.&lt;/p&gt;&lt;p&gt;No matter how many times you use this spell, however, you can control only 4 HD worth of undead creatures per caster level. If you exceed this number, all the newly created creatures fall under your control, and any excess undead from previous castings become uncontrolled. You choose which creatures are released. Undead you control through the Command Undead feat do not count toward this limit.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Skeletons&lt;/i&gt;: A skeleton can be created only from a mostly intact corpse or skeleton. The corpse must have bones. If a skeleton is made from a corpse, the flesh falls off the bones.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Zombies&lt;/i&gt;: A zombie can be created only from a mostly intact corpse.&lt;/p&gt;&lt;p&gt;The corpse must be that of a creature with a physical anatomy.&lt;/p&gt;",PFRPG Core,"Death (3), Souls (3)",Creates undead skeletons and zombies.,25
Animate Objects,transmutation,,,"bard 6, cleric/oracle 6, witch 6, occultist 6, psychic 6",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,,one Small object per caster level; see text,1 round/level,none,no,"&lt;p&gt;You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate.&lt;/p&gt;&lt;p&gt;An animated object can be of any nonmagical material. You may animate one Small or smaller object or a corresponding number of larger objects as follows: A Medium object counts as two Small or smaller objects, a Large object as four, a Huge object as eight, a Gargantuan object as 16, and a Colossal object as 32. You can change the designated target or targets as a move action, as if directing an active spell. See the &lt;i&gt;Pathfinder RPG Bestiary&lt;/i&gt; for the statistics of animated objects.&lt;/p&gt;&lt;p&gt;This spell cannot affect objects carried or worn by a creature.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Animate objects&lt;/i&gt; can be made permanent with a &lt;i&gt;permanency&lt;/i&gt; spell.&lt;/p&gt;",PFRPG Core,"Chaos (6), Flotsam (6)",Objects attack your foes.,NULL
Animate Plants,transmutation,,,"druid 7, shaman 7",1 standard action,V,close (25 ft. + 5 ft./2 levels),,,one Large plant per three caster levels or all plants within  range; see text,1 round/level or 1 hour/level; see text,none,no,"&lt;p&gt;You imbue inanimate plants with mobility and a semblance of life. Each animated plant then immediately attacks whomever or whatever you initially designate as though it were an animated object of the appropriate size category. You may animate one Large or smaller plant, or a number of larger plants as follows: a Huge plant counts as two Large or smaller plants, a Gargantuan plant as four, and a Colossal plant as eight. You can change the designated target or targets as a move action, as if directing an active spell.&lt;/p&gt;&lt;p&gt;Use the statistics for animated objects (see &lt;i&gt;Pathfinder RPG&lt;/i&gt; Bestiary), except that plants smaller than Large don&apos;t have hardness.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Animate plants&lt;/i&gt; cannot affect plant creatures, nor does it affect nonliving vegetable material.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Entangle&lt;/i&gt;: Alternatively, you may imbue all plants within range with a degree of mobility, which allows them to entwine around creatures in the area. This usage of the spell duplicates the effect of an &lt;i&gt;entangle&lt;/i&gt; spell. Spell resistance does not keep creatures from being &lt;i&gt;entangle&lt;/i&gt;d. This effect lasts 1 hour per caster level.&lt;/p&gt;",PFRPG Core,Plant (7),One or more plants animate and fight for you.,NULL
Animate Rope,transmutation,,,"bard 1, sorcerer/wizard 1, psychic 1, mesmerist 1",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,,"one rope-like object, length up to 50 ft. + 5 ft./level; see text",1 round/level,none,no,"&lt;p&gt;You can animate a nonliving rope-like object. The maximum length assumes a rope with a 1-inch diameter. Reduce the maximum length by 50% for every additional inch of thickness, and increase it by 50% for each reduction of the rope&apos;s diameter by half.&lt;/p&gt;&lt;p&gt;The possible commands are coil (form a neat, coiled stack), coil and knot, loop, loop and knot, tie and knot, and the opposites of all of the above (uncoil, and so forth). You can give one command each round as a move action, as if directing an active spell.&lt;/p&gt;&lt;p&gt;The rope can enwrap only a creature or an object within 1 foot of it - it does not snake outward - so it must be thrown near the intended target. Doing so requires a successful ranged touch attack roll (range increment 10 feet). A typical 1-inch-diameter hemp rope has 2 hit points, AC 10, and requires a DC 23 Strength check to burst it. The rope does not deal damage, but it can be used as a trip line or to cause a single opponent that fails a Reflex saving throw to become entangled. A creature capable of spellcasting that is bound by this spell must make a concentration check with a DC of 15 + the spell&apos;s level to cast a spell. An entangled creature can slip free with a DC 20 Escape Artist check.&lt;/p&gt;&lt;p&gt;The rope itself and any knots tied in it are not magical.&lt;/p&gt;&lt;p&gt;The spell cannot affect objects carried or worn by a creature.&lt;/p&gt;",PFRPG Core,Artifice (1),Makes a rope move at your command.,NULL
Antilife Shell,abjuration,,,"cleric/oracle 6, druid 6, shaman 6, psychic 6",1 round,"V, S, DF",10 ft.,"10-ft.-radius emanation, centered on you",,,1 min./level,none,yes,"&lt;p&gt;You bring into being a mobile, hemispherical energy field that prevents the entrance of most types of living creatures.&lt;/p&gt;&lt;p&gt;The effect hedges out animals, aberrations, dragons, fey, giants, humanoids, magical beasts, monstrous humanoids, oozes, plants, and vermin, but not constructs, elementals, outsiders, or undead.&lt;/p&gt;&lt;p&gt;This spell may be used only defensively, not aggressively. Forcing an abjuration barrier against creatures that the spell keeps at bay collapses the barrier.&lt;/p&gt;",PFRPG Core,"Animal (6), Souls (6)",10-ft.-radius field hedges out living creatures.,NULL
Antimagic Field,abjuration,,,"cleric/oracle 8, sorcerer/wizard 6, occultist 6, psychic 7",1 standard action,"V, S, M/DF (pinch of powdered iron or iron filings)",10 ft.,"10-ft.-radius emanation, centered on you",,,10 min./level (D),none,see text,"&lt;p&gt;An invisible barrier surrounds you and moves with you. The space within this barrier is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities.&lt;/p&gt;&lt;p&gt;Likewise, it prevents the functioning of any magic items or spells within its confines.&lt;/p&gt;&lt;p&gt;An &lt;i&gt;antimagic field&lt;/i&gt; suppresses any spell or magical effect used within, brought into, or cast into the area, but does not dispel it.&lt;/p&gt;&lt;p&gt;Time spent within an &lt;i&gt;antimagic field&lt;/i&gt; counts against the suppressed spell&apos;s duration.&lt;/p&gt;&lt;p&gt;Summoned creatures of any type wink out if they enter an &lt;i&gt;antimagic field&lt;/i&gt;. They reappear in the same spot once the field goes away. Time spent winked out counts normally against the duration of the conjuration that is maintaining the creature. If you cast &lt;i&gt;antimagic field&lt;/i&gt; in an area occupied by a summoned creature that has spell resistance, you must make a caster level check (1d20 + caster level) against the creature&apos;s spell resistance to make it wink out.&lt;/p&gt;&lt;p&gt;(The effects of instantaneous conjurations are not affected by an &lt;i&gt;antimagic field&lt;/i&gt; because the conjuration itself is no longer in effect, only its result.) A normal creature can enter the area, as can normal missiles.&lt;/p&gt;&lt;p&gt;Furthermore, while a magic sword does not function magically within the area, it is still a sword (and a masterwork sword at that). The spell has no effect on golems and other constructs that are imbued with magic during their creation process and are thereafter self-supporting (unless they have been summoned, in which case they are treated like any other summoned creatures). Elementals, undead, and outsiders are likewise unaffected unless summoned. These creatures&apos; spell-like or supernatural abilities may be temporarily nullified by the field.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Dispel magic&lt;/i&gt; does not remove the field.&lt;/p&gt;&lt;p&gt;Two or more &lt;i&gt;antimagic field&lt;/i&gt;s sharing any of the same space have no effect on each other. Certain spells, such as &lt;i&gt;wall of force&lt;/i&gt;, &lt;i&gt;prismatic sphere&lt;/i&gt;, and &lt;i&gt;prismatic wall&lt;/i&gt;, remain unaffected by &lt;i&gt;antimagic field&lt;/i&gt;.&lt;/p&gt;&lt;p&gt;Artifacts and deities are unaffected by mortal magic such as this.&lt;/p&gt;&lt;p&gt;Should a creature be larger than the area enclosed by the barrier, any part of it that lies outside the barrier is unaffected by the field.&lt;/p&gt;",PFRPG Core,"Magic (6), Protection (6)",Negates magic within 10 ft.,NULL
Antipathy,enchantment,compulsion,"mind-affecting, emotion","druid 9, sorcerer/wizard 8, witch 8, summoner/unchained summoner 6, occultist 6, psychic 8",1 hour,"V, S, M/DF (a lump of alum soaked in vinegar)",close (25 ft. + 5 ft./2 levels),,,one location (up to a 10-ft. cube/level) or one object,2 hours/level,Will partial,yes,"&lt;p&gt;You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The kind of creature to be affected must be named specifically. A creature subtype is not specific enough. Likewise, the specific alignment to be repelled must be named.&lt;/p&gt;&lt;p&gt;Creatures of the designated kind or alignment feel an urge to leave the area or to avoid the affected item.&lt;/p&gt;&lt;p&gt;A compulsion forces them to abandon the area or item, shunning it and never willingly returning to it while the spell is in effect. A creature that makes a successful saving throw can stay in the area or touch the item but feels uncomfortable doing so. This distracting discomfort reduces the creature&apos;s Dexterity score by 4 points.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Antipathy&lt;/i&gt; counters and dispels &lt;i&gt;sympathy&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,,Object or location affected by spell repels certain creatures.,NULL
Antiplant Shell,abjuration,,,druid 4,1 standard action,"V, S, DF",10 ft.,"10-ft.-radius emanation, centered on you",,,1 min./level,none,yes,"&lt;p&gt;The &lt;i&gt;antiplant shell&lt;/i&gt; spell creates an invisible, mobile barrier that keeps all creatures within the shell protected from attacks by plant creatures or animated plants. As with many abjuration spells, forcing the barrier against creatures that the spell keeps at bay strains and collapses the field.&lt;/p&gt;",PFRPG Core,,Keeps animated plants at bay.,NULL
Arcane Eye,divination,scrying,,"sorcerer/wizard 4, witch 4, alchemist 4, occultist 4, psychic 4, mesmerist 4",10 minutes,"V, S, M (a bit of bat fur)",unlimited,,magical sensor,,1 min./level,none,no,"&lt;p&gt;You create an invisible magical sensor that sends you visual information. You can create the &lt;i&gt;arcane eye&lt;/i&gt; at any point you can see, but it can then travel outside your line of sight without hindrance. An &lt;i&gt;arcane eye&lt;/i&gt; travels at 30 feet per round (300 feet per minute) if viewing an area ahead as a human would (primarily looking at the floor) or 10 feet per round (100 feet per minute) if examining the ceiling and walls as well as the floor ahead. It sees exactly as you would see if you were there.&lt;/p&gt;&lt;p&gt;The eye can travel in any direction as long as the spell lasts. Solid barriers block its passage, but it can pass through a hole or space as small as 1 inch in diameter. The eye can&apos;t enter another plane of existence, even through a &lt;i&gt;gate&lt;/i&gt; or similar magical portal.&lt;/p&gt;&lt;p&gt;You must concentrate to use an &lt;i&gt;arcane eye&lt;/i&gt;. If you do not concentrate, the eye is inert until you again concentrate.&lt;/p&gt;",PFRPG Core,Arcane (4),Invisible floating eye moves 30 ft./round.,NULL
Arcane Lock,abjuration,,,"sorcerer/wizard 2, occultist 2",1 standard action,"V, S, M (gold dust worth 25 gp)",touch,,,"door, chest, or portal touched, up to 30 sq. ft./level in size",permanent,none,no,"&lt;p&gt;An &lt;i&gt;arcane lock&lt;/i&gt; spell cast upon a door, chest, or portal magically locks it. You can freely pass your own arcane lock without affecting it. If the locked object has a lock, the DC to open that lock increases by 10 while it remains attached to the object. If the object does not have a lock, this spell creates one that can only be opened with a DC 20 Disable Device skill check. A door or object secured with this spell can be opened only by breaking in or with a successful &lt;i&gt;dispel magic&lt;/i&gt; or &lt;i&gt;knock&lt;/i&gt; spell. Add 10 to the normal DC to break open a door or portal affected by this spell. A &lt;i&gt;knock&lt;/i&gt; spell does not remove an &lt;i&gt;arcane lock&lt;/i&gt;; it only suppresses the effect for 10 minutes.&lt;/p&gt;",PFRPG Core,Wards (1),Magically locks a portal or chest.,25
Arcane Mark,universal,,,"sorcerer/wizard 0, summoner/unchained summoner 0, magus 0, shaman 0, psychic 0",1 standard action,"V, S",touch,,"one personal rune or mark, all of which must fit within 1 sq. ft.",,permanent,none,no,"&lt;p&gt;This spell allows you to inscribe your personal rune or mark, which can consist of no more than six characters. The writing can be visible or invisible. An &lt;i&gt;arcane mark&lt;/i&gt; spell enables you to etch the rune upon any substance without harm to the material upon which it is placed. If an invisible mark is made, a &lt;i&gt;detect magic&lt;/i&gt; spell causes it to glow and be visible, though not necessarily understandable.&lt;/p&gt;&lt;p&gt;&lt;i&gt;See invisibility&lt;/i&gt;, &lt;i&gt;true seeing&lt;/i&gt;, a &lt;i&gt;gem of seeing&lt;/i&gt;, or a &lt;i&gt;robe of eyes&lt;/i&gt; likewise allows the user to see an invisible &lt;i&gt;arcane mark&lt;/i&gt;. A &lt;i&gt;read magic&lt;/i&gt; spell reveals the words, if any. The mark cannot be dispelled, but it can be removed by the caster or by an &lt;i&gt;erase&lt;/i&gt; spell.&lt;/p&gt;&lt;p&gt;If an &lt;i&gt;arcane mark&lt;/i&gt; is placed on a living being, the effect gradually fades in about a month.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Arcane mark&lt;/i&gt; must be cast on an object prior to casting &lt;i&gt;instant summons&lt;/i&gt; on the same object (see that spell description for details).&lt;/p&gt;",PFRPG Core,,Inscribes a personal rune on an object or creature (visible or invisible).,NULL
Arcane Sight,divination,,,"sorcerer/wizard 3, witch 3, inquisitor 3, alchemist 3, magus 3, occultist 3, psychic 3",1 standard action,"V, S",personal,,,you,1 min./level,,,"&lt;p&gt;This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a &lt;i&gt;detect magic&lt;/i&gt; spell, but &lt;i&gt;arcane sight&lt;/i&gt; does not require concentration and discerns aura location and power more quickly.&lt;/p&gt;&lt;p&gt;You know the location and power of all magical auras within your sight. An aura&apos;s power depends on a spell&apos;s functioning level or an item&apos;s caster level, as noted in the description of the &lt;i&gt;detect magic&lt;/i&gt; spell. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. (Make one check per aura; DC 15 + spell level, or 15 + half caster level for a nonspell effect.) If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities, whether these are arcane or divine (spell-like abilities register as arcane), and the strength of the most powerful spell or spell-like ability the creature currently has available for use.&lt;/p&gt;&lt;p&gt;As with &lt;i&gt;detect magic&lt;/i&gt;, you can use this spell to identify the properties of magic items, but not artifacts.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Arcane sight&lt;/i&gt; can be made permanent with a &lt;i&gt;permanency&lt;/i&gt; spell.&lt;/p&gt;",PFRPG Core,,Magical auras become visible to you.,NULL
"Arcane Sight, Greater",divination,,,"sorcerer/wizard 7, witch 7, psychic 7",1 standard action,"V, S",personal,,,you,1 min./level,,,"&lt;p&gt;This spell functions like &lt;i&gt;arcane sight&lt;/i&gt;, except that you automatically know which spells or magical effects are active upon any individual or object you see.&lt;/p&gt;&lt;p&gt;Unlike &lt;i&gt;arcane sight&lt;/i&gt;, this spell cannot be made permanent with a &lt;i&gt;permanency&lt;/i&gt; spell.&lt;/p&gt;",PFRPG Core,,"As arcane sight, but also reveals magic effects on creatures and objects.",NULL
